Filename,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
Chadwyck_British_1814_Scott_WaverleyorTis.txt,208707,31.28,22.47,79.01,0.04,55.68,12.39,7.75,1.49,0.32,0.85,4.13,0.96,4.64,9.34,9.62,6.45,4.79,2.76,1.09,2.91,15.99,6.53,1.11,2.57,0.78,0.02,10.66,0.37,0.26,0.91,5.4,3.44,1.9,0.41,0.59,0.51,14.35,1.92,1.14,1.24,2.42,1.12,0.65,4.84,2.05,1.87,0.61,0.73,0.44,1.32,0.7,0.33,0.12,0.2,11.62,1.64,5.99,3.93,1.12,1.59,0.71,0.41,0.45,0.45,0.19,0.03,0.12,0.09,2.93,10.07,0.07,0.84,0.22,0.18,1.53,1.9,0.95,0.11,0.01,18.24
Chadwyck_British_1815_Scott_GuyManneringOr.txt,175063,26.93,21.37,79.93,0.01,55.57,13.19,8.56,2.06,0.45,1.07,4.13,0.86,4.64,9.03,10.67,6.9,4.9,3.55,1.21,3.19,14.95,6.6,1.14,2.26,0.85,0.04,11.52,0.36,0.29,1.31,5.05,3.1,1.91,0.46,0.52,0.53,14.33,1.93,0.99,1.34,2.46,1.14,0.59,4.9,2.12,2.49,0.85,1.03,0.52,1.4,0.74,0.31,0.1,0.29,12.09,1.62,6.17,4.24,1.05,1.26,0.65,0.66,0.57,0.37,0.27,0.05,0.13,0.11,3.2,10.05,0.04,0.73,0.42,0.38,1.72,3.04,1.51,0.09,0.01,20.52
Chadwyck_British_1815_Scott_TheAntiquaryin.txt,168423,31.33,20.71,78.45,0.02,54.5,13.37,8.82,2.42,0.46,1.49,3.59,0.86,4.55,8.83,10.68,6.85,4.47,4.04,1.21,2.94,14.6,6.47,1.1,2.13,0.8,0.03,11.45,0.52,0.25,1.27,4.96,2.9,2.03,0.49,0.54,0.6,13.95,1.93,1.03,1.26,2.31,1.13,0.56,4.72,2.09,2.47,0.71,1.19,0.46,1.34,0.68,0.34,0.09,0.25,11.02,1.56,5.49,3.95,0.96,1.2,0.62,0.47,0.63,0.74,0.27,0.05,0.14,0.16,2.64,10.11,0.03,0.66,0.51,0.39,1.48,3.8,1.89,0.09,0.01,21.06
Chadwyck_British_1816_Scott_OldMortalityin.txt,145777,30.06,20.94,79.29,0.04,55.7,13.39,8.81,1.96,0.55,1.27,3.49,1.54,4.58,8.99,10.03,6.53,4.44,3.39,1.2,2.69,15.67,6.66,1.08,2.36,0.8,0.05,11.61,0.35,0.24,0.93,5.19,2.94,2.2,0.44,0.88,0.52,13.85,1.6,1.11,1.2,2.12,0.99,0.74,5.09,2.07,2.3,0.59,1.15,0.49,1.59,0.96,0.36,0.09,0.21,11.25,1.71,5.73,3.78,1.1,1.55,0.58,0.42,0.38,0.87,0.35,0.02,0.13,0.11,2.89,10.07,0.04,0.88,0.39,0.28,1.22,3.39,1.24,0.08,0,20.03
Chadwyck_British_1816_Scott_TheBlackDwarf.txt,57919,26.63,19.96,79.92,0.01,55.79,14.61,10.01,2.57,0.58,1.72,4.19,0.95,4.6,8.35,10.71,6.97,4.37,4.01,1.26,2.98,14.82,6.68,1.21,2.22,0.66,0.05,12.7,0.55,0.39,1.08,5.37,3.02,2.3,0.54,0.75,0.64,13.7,1.74,0.93,1.31,2.31,1.03,0.67,4.84,2.22,2.52,0.68,1.24,0.54,1.48,0.86,0.38,0.1,0.18,11.31,1.62,5.79,3.88,1.01,1.42,0.88,0.54,0.44,0.47,0.27,0.03,0.13,0.12,3.02,10.05,0.02,1.08,0.51,0.41,1.15,4.02,1.64,0.09,0.01,21.57
Chadwyck_British_1817_Scott_RobRoyin.txt,188578,31.87,21.14,79.66,0.05,56.06,14.44,9.79,3.69,0.58,1.2,3.33,0.99,4.65,8.27,10.14,6.63,4.59,3.42,1.1,2.89,15.43,6.83,1.17,2.37,0.73,0.03,10.9,0.52,0.26,1.04,5.39,3.17,2.17,0.52,0.66,0.58,14.56,1.97,1.07,1.27,2.52,1.13,0.64,4.97,2.15,2.15,0.64,0.95,0.47,1.45,0.87,0.33,0.09,0.19,11.05,1.54,5.87,3.57,1.12,1.44,0.61,0.49,0.59,0.41,0.23,0.04,0.13,0.12,2.84,10.02,0.03,0.81,0.29,0.22,1.14,2.6,1.51,0.09,0.01,19.14
Chadwyck_British_1818_Scott_TheHeartof.txt,165537,30.89,19.56,80.17,0.04,56.03,14.22,9.27,1.96,0.33,1.27,4.89,0.81,4.95,8.36,10.95,7.13,5.29,3.43,1.16,3.01,15.08,6.83,1.12,2.16,0.69,0.07,12.61,0.59,0.22,1.27,5.18,3.08,2.06,0.55,0.57,0.5,14.51,1.91,1.03,1.36,2.39,1.17,0.64,4.84,2.26,2.48,0.66,1.25,0.49,1.34,0.72,0.35,0.11,0.18,11.07,1.6,5.71,3.73,1.1,1.29,0.51,0.45,0.52,0.68,0.27,0.03,0.11,0.12,2.84,10.06,0.04,0.82,0.39,0.26,1.16,3.16,1.62,0.06,0,19.98
Chadwyck_British_1819_Scott_ALegendof.txt,89662,31.57,22.56,79.76,0.03,56.16,13.06,8.48,1.93,0.52,1.19,3.66,1.18,4.58,9,9.93,6.64,4.58,3,1.23,2.68,16.1,6.34,1.16,2.58,0.89,0.03,11.7,0.3,0.26,1,5.24,3.16,2.02,0.38,0.83,0.45,13.77,1.73,1.13,1.25,2.21,1.05,0.71,4.79,1.98,2.28,0.57,1.18,0.44,1.39,0.83,0.33,0.07,0.18,11.27,1.56,5.96,3.68,1.1,1.72,0.55,0.39,0.44,0.8,0.31,0.02,0.13,0.11,2.83,10.62,0.04,0.85,0.27,0.19,1.02,3.37,0.8,0.05,0,19.65
Chadwyck_British_1819_Scott_IvanhoeARomance.txt,195378,28.91,20.22,78.57,0.01,55.61,13.26,8.68,2.01,0.59,1.62,3.39,1.07,4.58,9.37,9.49,6.21,4.19,3.06,1.26,2.68,15.49,6.52,1.23,2.25,0.82,0.03,11.18,0.34,0.23,0.64,5.53,3.4,2.1,0.42,0.8,0.47,13.4,1.53,1.04,1.17,1.94,0.96,0.81,4.88,2.12,2.51,0.66,1.3,0.48,1.6,0.92,0.35,0.14,0.24,10.39,1.57,5.47,3.25,0.86,1.71,0.59,0.33,0.53,1.12,0.27,0.02,0.17,0.08,2.91,10.08,0.03,0.87,0.38,0.5,1.47,4.03,0.47,0.04,0,20.13
Chadwyck_British_1819_Scott_TheBrideof.txt,129172,31.68,21.06,80.31,0.02,55.9,13.59,8.96,1.95,0.38,1.26,4.54,0.83,4.63,9.04,10.4,6.72,4.76,3.46,1.25,2.85,15.41,6.67,1.12,2.33,0.62,0.05,12.06,0.6,0.33,1.04,5.41,3.34,2.02,0.53,0.57,0.53,14.42,1.98,1.1,1.46,2.31,1.18,0.62,4.88,2.1,2.43,0.65,1.16,0.52,1.45,0.73,0.32,0.17,0.29,10.97,1.51,5.5,3.89,0.97,1.72,0.72,0.63,0.45,0.74,0.27,0.04,0.16,0.1,2.72,10.07,0.03,0.85,0.34,0.27,1.23,3.42,1.25,0.04,0,19.76
Chadwyck_British_1821_Scott_Kenilworthinthe.txt,188319,28.11,20.24,79.96,0.03,55.85,14.77,10.1,2.64,0.47,1.88,4.43,0.69,4.67,7.87,10.52,6.53,4.51,3.63,1.45,2.96,14.89,6.86,1.29,2.36,0.7,0.03,12.51,0.29,0.25,0.91,5.36,3.45,1.87,0.49,0.6,0.41,14.59,1.8,1.11,1.37,2.15,1.14,0.73,5.14,2.27,2.91,0.79,1.52,0.47,1.6,0.89,0.37,0.17,0.19,10.93,1.67,5.59,3.62,0.9,1.6,0.7,0.52,0.47,0.87,0.18,0.03,0.17,0.12,2.97,10.99,0.03,0.89,0.48,0.4,1.09,4.39,0.84,0.07,0.01,21.73
Chadwyck_British_1823_Scott_QuentinDurwardin.txt,199459,32.73,21.5,79.91,0.04,56.51,13.54,8.68,1.86,0.5,1.34,3.93,1.05,4.86,8.82,9.92,6.5,4.65,3.11,1.19,2.93,15.97,6.65,1.22,2.49,0.77,0.02,11.47,0.34,0.22,0.78,5.52,3.44,2.03,0.46,0.78,0.4,14.41,1.88,1.11,1.26,2.31,1.1,0.87,4.86,2.15,2.24,0.59,1.17,0.4,1.45,0.83,0.32,0.14,0.2,10.7,1.49,5.68,3.52,1.03,1.81,0.57,0.32,0.43,0.83,0.26,0.03,0.13,0.12,2.65,10.48,0.02,0.85,0.32,0.38,1.08,3.26,0.59,0.06,0,19.28
