Filename,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
InternetArchive_British_1885_Beale_Simplicityandfascination.txt,214298,19.08,16.91,85.55,0.05,56.94,15.37,11.45,2.67,0.5,1.62,5.83,0.83,3.92,6.26,13.83,8.24,5.91,5.35,1.49,3.83,13.07,7.52,1.62,2.52,1.05,0.02,15.37,1.21,0.21,1.39,6.48,4.28,2.16,0.5,0.39,0.79,16.43,2.07,1.07,1.76,2.3,1.76,0.5,5.72,2.52,3.42,1.32,1.29,0.75,2.25,1.13,0.59,0.31,0.24,12.51,1.98,5.66,4.85,0.88,1.26,0.9,0.63,0.38,0.51,0.21,0.19,0.16,0.12,5.03,8.54,0.31,1.05,0.54,0.6,0.9,3.15,1.33,0.01,1.62,22.72
InternetArchive_British_1859_Pardoe_Miss_Julia_1806_1862_Alife-struggle.txt,129399,26.16,20.29,83.9,0.12,59.02,16.25,11.42,3.03,0.48,1.79,5.62,0.51,4.83,7.11,11.99,8.82,4.44,4.55,1.72,3.45,14.16,6.85,1.83,2.44,0.8,0.01,13.6,0.85,0.22,1.25,6.98,4.37,2.54,0.64,0.5,0.9,15.53,2.34,1.29,1.74,1.96,1.77,0.73,4.57,2.17,2.08,0.62,0.67,0.63,1.77,0.91,0.55,0.24,0.09,10.19,1.17,4.78,4.19,0.97,1.59,0.48,0.42,0.52,0.58,0.2,0.1,0.15,0.07,3.53,7.08,0.17,2.23,0.57,0.38,1.16,3.12,0.78,0.04,0.36,18.96
InternetArchive_British_1809_Unknown_Moderntimesor.txt,99494,31.88,21.59,80.82,0.23,56.07,12.68,8.12,1.53,0.13,0.93,4.65,0.88,4.56,9.3,10.57,7.05,5.32,3.06,1.02,3.24,15.32,6.03,1.35,2.59,0.75,0.02,13.07,0.55,0.35,2.15,5.11,3.48,1.6,0.34,0.4,0.45,14.19,1.84,1.13,1.43,2.37,1.37,0.5,4.33,2.23,1.78,0.51,0.87,0.3,1.25,0.51,0.41,0.09,0.28,10.93,1.63,5.32,3.81,1.21,1.28,0.89,0.63,0.6,0.64,0.12,0.06,0.14,0.04,3.1,9.3,0.63,1.16,0.23,0.23,0.94,3.12,2.51,0.08,5.48,26.48
InternetArchive_British_1853_Hannay_James_1827_1873_Sketchesinultra-marine.txt,157438,20.62,19.46,79.12,0.09,53.83,11.15,6.69,1.11,0.62,0.72,3.23,1.01,4.45,10.34,10.87,6.59,5.64,3.6,0.78,3.35,15.08,5.66,1.06,2.03,0.96,0.05,10.7,0.3,0.32,1.41,4.99,3.16,1.79,0.31,0.57,0.48,12.94,1.52,1,0.99,2.02,1.24,0.46,4.82,1.61,2.79,1.18,1.01,0.52,1.56,0.74,0.3,0.11,0.51,13.43,2.19,6.81,4.37,1.25,1.18,0.9,0.4,0.49,0.46,0.21,0.15,0.13,0.15,4.74,8.76,0.09,0.89,0.43,0.57,0.71,3.3,1.3,0.25,0.41,21.39
InternetArchive_British_1870_Robinson_Sternnecessity.txt,163501,19.42,15.19,86,0.11,58.93,17.33,12.43,3.13,0.3,1.87,6.67,0.45,4.91,6.42,15.02,9.29,7.29,5.56,1.36,3.63,13.18,6.46,2.1,2.03,0.95,0.01,15.13,0.49,0.22,1.64,5.97,3.57,2.38,0.52,0.38,0.89,15.23,2.09,0.9,1.58,2.13,1.51,0.52,5.04,2.59,3,1.03,1.38,0.57,1.58,0.83,0.42,0.19,0.16,13.15,1.83,5.86,5.31,0.89,1.05,0.5,0.58,0.6,0.48,0.17,0.38,0.15,0.13,4.99,7.79,0.06,1.34,0.64,0.43,1.29,5.33,1.61,0.01,0.65,23.6
InternetArchive_British_1890_Fitzgerald_Geraldine_Penrose_Thesilverwhistle.txt,214758,21.56,17.86,82.42,0.06,56.33,13.82,9.44,1.05,0.32,0.85,6.2,1.01,4.39,8.24,11.77,7.04,6.26,3.61,0.97,3.55,15.18,6.3,1.3,2.59,1.03,0.03,12.4,0.32,0.16,0.85,5.29,3.29,1.95,0.45,0.52,0.53,14.37,1.81,0.88,1.33,2.26,1.58,0.54,4.95,2.09,3.65,1.53,1.15,0.92,2.47,1.56,0.45,0.18,0.35,14.3,2.07,7.42,4.84,0.85,1.15,0.67,0.6,0.33,0.55,0.17,0.1,0.15,0.2,4.49,8.26,0.11,0.7,0.29,0.47,0.72,2.72,1.82,0.05,0.33,19.71
InternetArchive_British_1870_Alexander_Mrs_Notwhileshe.txt,68008,16.73,19.55,76.94,0.69,53.14,11.95,8.3,1.43,0.2,0.96,5.22,0.49,3.65,7.96,8.92,5.99,3.99,3.12,0.95,2.98,15.23,6.43,1.28,2.41,0.92,0.01,10.49,0.42,0.2,0.89,6.01,3.75,2.2,0.42,0.63,0.77,13.85,1.58,0.61,1.25,1.95,1.71,0.55,4.98,2.08,2.91,1.29,0.55,0.77,2.71,1.46,0.6,0.56,0.16,11.51,1.19,6.1,4.17,0.92,1.09,0.59,0.34,0.48,0.63,0.31,0.1,0.1,0.12,5.65,8.5,0.11,0.83,0.35,0.85,0.98,2.83,1.24,0.05,0.8,21.86
InternetArchive_British_1850_Marsh_AdelaideLindsay.txt,107614,20.95,18.8,83.32,0.24,56.47,15.61,11.01,3.04,0.33,1.44,5.56,0.64,4.6,6.04,13.1,8.13,5.56,4.99,1.52,4.15,13.32,6.63,1.91,2.66,0.83,0.01,13.21,0.57,0.22,1.36,6.23,4.16,2.04,0.47,0.33,0.8,16.27,2.54,1.1,1.96,2.44,1.73,0.57,4.68,2.3,2.83,0.95,1.06,0.73,1.6,0.72,0.52,0.21,0.18,12.35,1.96,5.46,4.9,0.93,1.2,0.66,0.63,0.37,0.23,0.19,0.25,0.17,0.09,4.58,8.54,0.07,1.14,0.27,0.96,0.83,3.15,1.68,0.03,0.74,21.66
InternetArchive_British_1871_Fenn_Bybirtha.txt,111015,19.23,15.58,82.58,0.13,55.18,14.52,10.62,2.59,0.25,1.5,5.76,0.51,3.9,6.79,13.55,7.74,6.23,4.87,1.32,4.06,13.23,7.66,1.76,2.03,1,0.03,13.76,0.39,0.16,1.74,5.85,3.29,2.51,0.51,0.65,0.88,14.55,1.72,0.86,1.65,1.93,1.34,0.65,4.89,2.47,4.12,1.33,1.7,0.99,2.32,1.38,0.49,0.31,0.24,13.47,2.37,5.73,5.23,0.73,0.91,0.53,0.59,0.32,0.22,0.1,0.22,0.15,0.1,4.67,9.43,0.24,1.44,0.75,1,1.46,0.12,6.42,0.06,0.7,25.74
InternetArchive_British_1851_Marsh_Timetheavenger.txt,153978,22.78,16.73,84.69,0.18,57.9,15.44,9.72,2.43,0.3,0.82,5.54,0.64,5.71,6.58,12.78,8.21,6.17,4.35,1.15,4.15,14.12,7.28,1.83,2.54,0.87,0,11.45,0.38,0.15,1.35,7.04,4.3,2.67,0.57,0.59,0.88,16.18,2.39,1.2,1.6,2.48,1.78,0.51,4.9,2.54,2.97,1.23,0.76,0.81,2.06,0.93,0.6,0.33,0.24,12.18,1.72,5.97,4.44,0.67,1.22,0.46,0.53,0.55,0.54,0.21,0.24,0.18,0.13,4.35,8.78,0.1,1.02,0.3,0.6,0.7,1.7,1.22,0.01,0.55,19.04
